cleaned_questions,Number Count,Array,String,Dynamic Programming,Math,Hash Table,Greedy,Sorting,Depth-First Search,Breadth-First Search,Binary Search
self dividing number selfdividing number number divisible every digit contains selfdividing number allowed contain digit zero given two integer left right return list selfdividing number range left right,0,0,0,0,1,0,0,0,0,0,0
continuous subarray sum given integer array nums integer return true nums continuous subarray size least two whose element sum multiple false otherwise integer multiple exists integer always multiple,1,1,0,0,1,1,0,0,0,0,0
length longest fibonacci subsequence sequence fibonaccilike given strictly increasing array arr positive integer forming sequence return length longest fibonaccilike subsequence arr one exist return subsequence derived another sequence arr deleting number element including none arr without changing order remaining element example subsequence,12,1,0,1,0,1,0,0,0,0,0
construct rectangle web developer need know design web page size given specific rectangular web page’s area job design rectangular web page whose length width satisfy following requirement return array length width web page designed sequence,0,0,0,0,1,0,0,0,0,0,0
sum subarray range given integer array nums range subarray nums difference largest smallest element subarray return sum subarray range nums subarray contiguous nonempty sequence element within array,0,1,0,0,0,0,0,0,0,0,0
image overlap given two image img img represented binary square matrix size binary matrix value translate one image however choose sliding bit left right andor number unit place top image calculate overlap counting number position image note also translation include kind rotation bit translated outside matrix border erased return largest possible overlap,7,1,0,0,0,0,0,0,0,0,0
reformat date given date string form day month year where convert date string format yyyymmdd where,0,0,1,0,0,0,0,0,0,0,0
minimum number operation make array continuous given integer array nums one operation replace element nums integer nums considered continuous following condition fulfilled example nums continuous nums continuous return minimum number operation make nums continuous,9,1,0,0,0,0,0,0,0,0,1
delete column make sorted given array string strs length may choose deletion index delete character index string example strs abcdefuvwxyz deletion index final array deletion bef vyz suppose chose set deletion index answer deletion final array element lexicographic order strs strs strs strsn return minimum possible value answerlength,7,1,1,0,0,0,1,0,0,0,0
closest subsequence sum given integer array nums integer goal want choose subsequence nums sum element closest possible goal sum subsequence element sum want minimize absolute difference abssum goal return minimum possible value abssum goal note subsequence array array formed removing element possibly none original array,0,1,0,1,0,0,0,0,0,0,0
longest uncommon subsequence given array string strs return length longest uncommon subsequence them longest uncommon subsequence exist return uncommon subsequence array string string subsequence one string others subsequence string string obtained deleting number character,1,1,1,0,0,1,0,1,0,0,0
lucky number matrix given matrix distinct number return lucky number matrix order lucky number element matrix minimum element row maximum column,0,1,0,0,0,0,0,0,0,0,0
minimum number work session finish task task assigned you task time represented integer array task length ith task take tasksi hour finish work session work sessiontime consecutive hour take break finish given task way satisfies following condition given task sessiontime return minimum number work session needed finish task following condition above test generated sessiontime greater equal maximum element tasksi,0,1,0,1,0,0,0,0,0,0,0
decode xored permutation integer array perm permutation first positive integer always odd encoded another integer array encoded length encodedi permi xor permi example perm encoded given encoded array return original array perm guaranteed answer exists unique,7,1,0,0,0,0,0,0,0,0,0
sort array parity given array integer nums half integer nums odd half even sort array whenever numsi odd odd whenever numsi even even return answer array satisfies condition,0,1,0,0,0,0,0,1,0,0,0
remove occurrence substring given two string part perform following operation occurrence substring part removed return removing occurrence part substring contiguous sequence character string,0,0,1,0,0,0,0,0,0,0,0
path crossing given string path pathi representing moving one unit north south east west respectively start origin plane walk path specified path return true path cross point time location previously visited return false otherwise,3,0,1,0,0,1,0,0,0,0,0
longest palindrome concatenating two letter word given array string word element word consists two lowercase english letter create longest possible palindrome selecting element word concatenating order element selected once return length longest palindrome create impossible create palindrome return palindrome string read forward backward,1,1,1,0,0,1,1,0,0,0,0
count number homogenous substring given string return number homogenous substring since answer may large return modulo string homogenous character string same substring contiguous sequence character within string,2,0,1,0,1,0,0,0,0,0,0
minimum operation make subsequence given array target consists distinct integer another integer array arr duplicate one operation insert integer position arr example arr add middle make note insert integer beginning end array return minimum number operation needed make target subsequence arr subsequence array new array generated original array deleting element possibly none without changing remaining element relative order example subsequence the underlined element not,23,1,0,0,0,1,1,0,0,0,1
generate parenthesis given pair parenthesis write function generate combination wellformed parenthesis,0,0,1,1,0,0,0,0,0,0,0
partition array disjoint interval given integer array nums partition two contiguous subarrays left right that return length left partitioning test case generated partitioning exists,0,1,0,0,0,0,0,0,0,0,0
maximum sum circular subarray given circular integer array nums length return maximum possible sum nonempty subarray nums circular array mean end array connects beginning array formally next element numsi numsi previous element numsi numsi subarray may include element fixed buffer nums once formally subarray numsi numsi numsj exist,7,1,0,1,0,0,0,0,0,0,0
maximum xor two number array given integer array nums return maximum result numsi xor numsj,1,1,0,0,0,1,0,0,0,0,0
avoid flood city country infinite number lake initially lake empty rain nth lake nth lake becomes full water rain lake full water flood goal avoid flood lake given integer array rain where return array an where multiple valid answer return them impossible avoid flood return empty array notice chose dry full lake becomes empty chose dry empty lake nothing change,0,1,0,0,0,1,1,0,0,0,1
erect fence given array tree treesi represents location tree garden asked fence entire garden using minimum length rope expensive garden well fenced tree enclosed return coordinate tree exactly located fence perimeter,0,1,0,0,1,0,0,0,0,0,0
design hashset design hashset without using builtin hash table library implement myhashset class,0,1,0,0,0,1,0,0,0,0,0
maximum width binary tree given root binary tree return maximum width given tree maximum width tree maximum width among level width one level defined length endnodes the leftmost rightmost nonnull node null node endnodes would present complete binary tree extending level also counted length calculation guaranteed answer range bit signed integer,1,0,0,0,0,0,0,0,1,1,0
maximum erasure value given array positive integer nums want erase subarray containing unique element score get erasing subarray equal sum element return maximum score get erasing exactly one subarray array called subarray form contiguous subsequence equal alalar,1,1,0,0,0,1,0,0,0,0,0
maximum number week work project numbered given integer array milestone milestonesi denotes number milestone ith project ha work project following two rule milestone project finished milestone work cause violate rule stop working note may able finish every project milestone due constraint return maximum number week would able work project without violating rule mentioned above,2,1,0,0,0,0,1,0,0,0,0
decrypt string alphabet integer mapping given string formed digit want map english lowercase character follows return string formed mapping test case generated unique mapping always exist,0,0,1,0,0,0,0,0,0,0,0
two sum input array sorted given indexed array integer number already sorted nondecreasing order find two number add specific target number let two number numbersindex numbersindex index index numberslength return index two number index index added one integer array index index length test generated exactly one solution may use element twice solution must use constant extra space,11,1,0,0,0,0,0,0,0,0,1
xor query subarray given array arr positive integer also given array query queriesi lefti righti query compute xor element lefti righti that arrlefti xor arrlefti xor xor arrrighti return array answer answeri answer ith query,1,1,0,0,0,0,0,0,0,0,0
basic calculator given string representing valid expression implement basic calculator evaluate return result evaluation note allowed use builtin function evaluates string mathematical expression eval,0,0,1,0,1,0,0,0,0,0,0
check string break another string given two string size check permutation string break permutation string viceversa word break viceversa string break string both size alphabetical order,8,0,1,0,0,0,1,1,0,0,0
robot return origin robot starting position origin plane given sequence move judge robot end completes move given string move represents move sequence robot movesi represents ith move valid move right left down return true robot return origin finish move false otherwise note way robot facing irrelevant always make robot move right once always make move left etc also assume magnitude robot movement move,5,0,1,0,0,0,0,0,0,0,0
plate candle long table line plate candle arranged top given indexed string consisting character only represents plate represents candle also given indexed integer array query queriesi lefti righti denotes substring sleftirighti inclusive query need find number plate candle substring plate considered candle least one candle left least one candle right substring return integer array answer answeri answer ith query,3,1,1,0,0,0,0,0,0,0,1
find greatest common divisor array given integer array nums return greatest common divisor smallest number largest number nums greatest common divisor two number largest positive integer evenly divide number,0,1,0,0,1,0,0,0,0,0,0
minimum adjacent swap reach kth smallest number given string num representing large integer integer call integer wonderful permutation digit num greater value num many wonderful integer however care smallestvalued one return minimum number adjacent digit swap need applied num reach kth smallest wonderful integer test generated way kth smallest wonderful integer exists,0,0,1,0,0,0,1,0,0,0,0
stamping sequence given two string stamp target initially string length targetlength one turn place stamp replace every letter corresponding letter stamp want convert target using targetlength turn return array index leftmost letter stamped turn cannot obtain target within targetlength turn return empty array,2,0,1,0,0,0,1,0,0,0,0
solving question brainpower given indexed integer array question questionsi pointsi brainpoweri array describes question exam process question order starting question make decision whether solve skip question solving question earn pointsi point unable solve next brainpoweri question skip question get make decision next question return maximum point earn exam,3,1,0,1,0,0,0,0,0,0,0
minimum cost reach destination time country city numbered city connected bidirectional road road represented integer array edge edgesi timei denotes road city take timei minute travel may multiple road differing travel time connecting two city road connects city itself time pas city must pay passing fee represented indexed integer array passingfees length passingfeesj amount dollar must pay pas city beginning city want reach city maxtime minute le cost journey summation passing fee city passed moment journey including source destination city given maxtime edge passingfees return minimum cost complete journey cannot complete within maxtime minute,7,0,0,1,0,0,0,0,0,0,0
house robber iii thief found new place thievery again one entrance area called root besides root house one one parent house tour smart thief realized house place form binary tree automatically contact police two directlylinked house broken night given root binary tree return maximum amount money thief rob without alerting police,0,0,0,1,0,0,0,0,1,0,0
build array find maximum exactly comparison given three integer consider following algorithm find maximum element array positive integer build array arr following property return number way build array arr mentioned condition answer may grow large answer must computed modulo,2,0,0,1,0,0,0,0,0,0,0
binary tree inorder traversal given root binary tree return inorder traversal node value,0,0,0,0,0,0,0,0,1,0,0
maximum absolute value expression given two array integer equal length return maximum value arri arrj arri arrj maximum taken arrlength,6,1,0,0,1,0,0,0,0,0,0
longest absolute file path suppose file system store file directory example one system represented following picture here dir directory root dir contains two subdirectory subdir subdir subdir contains file fileext subdirectory subsubdir subdir contains subdirectory subsubdir contains file fileext text form look like with representing tab character write representation code look like this dirntsubdirnttfileextnttsubsubdirntsubdirnttsubsubdirntttfileext note newline tab character every file directory unique absolute path file system order directory must opened reach filedirectory itself concatenated using example absolute path fileext dirsubdirsubsubdirfileext directory name consists letter digit andor space file name form nameextension name extension consist letter digit andor space given string input representing file system explained format return length longest absolute path file abstracted file system file system return,19,0,1,0,0,0,0,0,1,0,0
square sorted array given integer array nums sorted nondecreasing order return array square number sorted nondecreasing order,0,1,0,0,0,0,0,1,0,0,0
last stone weight given array integer stone stonesi weight ith stone playing game stone turn choose two stone smash together suppose stone weight result smash end game one stone left return smallest possible weight left stone stone left return,1,1,0,1,0,0,0,0,0,0,0
unique path given integer array grid robot initially located topleft corner grid robot try move bottomright corner gridmn robot move either right point time obstacle space marked respectively grid path robot take cannot include square obstacle return number possible unique path robot take reach bottomright corner testcases generated answer le equal,8,1,0,1,0,0,0,0,0,0,0
find longest substring containing vowel even count given string return size longest substring containing vowel even number time must appear even number time,0,0,1,0,0,1,0,0,0,0,0
find kth largest xor coordinate value given matrix size consisting nonnegative integer also given integer value coordinate matrix xor matrixij indexed find kth largest value indexed coordinate matrix,5,1,0,0,0,0,0,0,0,0,0
count submatrices one given binary matrix mat return number submatrices one,0,1,0,1,0,0,0,0,0,0,0
lowest common ancestor binary search tree given binary search tree bst find lowest common ancestor lca two given node bst according definition lca wikipedia “the lowest common ancestor defined two node lowest node descendant where allow node descendant itself”,0,0,0,0,0,0,0,0,1,0,0
check straight line given array coordinate coordinatesi represents coordinate point check point make straight line plane,0,1,0,0,1,0,0,0,0,0,0
place flower long flowerbed plot planted not however flower cannot planted adjacent plot given integer array flowerbed containing mean empty mean empty integer return new flower planted flowerbed without violating noadjacentflowers rule,4,1,0,0,0,0,1,0,0,0,0
sort color given array nums object colored red white blue sort inplace object color adjacent color order red white blue use integer represent color red white blue respectively must solve problem without using library sort function,3,1,0,0,0,0,0,1,0,0,0
ksimilar string string ksimilar for nonnegative integer swap position two letter exactly time resulting string equal given two anagram return smallest ksimilar,8,0,1,0,0,0,0,0,0,1,0
group people given group size belong people split unknown number group person labeled unique given integer array groupsizes groupsizesi size group person example groupsizes person must group size return list group person group size groupsizesi person appear exactly one group every person must group multiple answer return them guaranteed least one valid solution given input,6,1,0,0,0,1,0,0,0,0,0
triple bitwise equal zero given integer array nums return number triple triple triple index that,0,1,0,0,0,1,0,0,0,0,0
sum game alice bob take turn playing game alice starting first given string num even length consisting digit character turn player following still least one num game end character num bob win sum digit first half num must equal sum digit second half alice win sum must equal assuming alice bob play optimally return true alice win false bob win,0,0,0,0,1,0,1,0,0,0,0
jump game given array integer arr integer one step jump index index addition jump index index arri arrj arri arrk index more formally mini maxi choose index array start jumping return maximum number index visit notice jump outside array time,0,1,0,1,0,0,0,1,0,0,0
allocate mailbox given array house housesi location ith house along street integer allocate mailbox street return minimum total distance house nearest mailbox test case generated answer fit bit integer,1,1,0,1,1,0,0,1,0,0,0
vertical order traversal binary tree given root binary tree calculate vertical order traversal binary tree node position row col left right child position row col row col respectively root tree vertical order traversal binary tree list toptobottom ordering column index starting leftmost column ending rightmost column may multiple node row column case sort node value return vertical order traversal binary tree,6,0,0,0,0,1,0,0,1,1,0
rectangle area given coordinate two rectilinear rectangle plane return total area covered two rectangle first rectangle defined bottomleft corner topright corner second rectangle defined bottomleft corner topright corner,9,0,0,0,1,0,0,0,0,0,0
reverse string given string integer reverse first character every character counting start string fewer character left reverse them le greater equal character reverse first character leave original,2,0,1,0,0,0,0,0,0,0,0
add one row tree given root binary tree two integer val depth add row node value val given depth depth note root node depth adding rule,1,0,0,0,0,0,0,0,1,1,0
patching array given sorted integer array nums integer addpatch element array number range inclusive formed sum element array return minimum number patch required,1,1,0,0,0,0,1,0,0,0,0
vowel spellchecker given wordlist want implement spellchecker convert query word correct word given query word spell checker handle two category spelling mistake addition spell checker operates following precedence rule given query return list word answer answeri correct word query queriesi,0,1,1,0,0,1,0,0,0,0,0
count nice pair array given array nums consists nonnegative integer let define revx reverse nonnegative integer example rev rev pair index nice satisfies following condition return number nice pair index since number large return modulo,6,1,0,0,1,1,0,0,0,0,0
minimum jump reach home certain bug home xaxis position help get position bug jump according following rule bug may jump forward beyond home cannot jump position numbered negative integer given array integer forbidden forbiddeni mean bug cannot jump position forbiddeni integer return minimum number jump needed bug reach home possible sequence jump land bug position return,2,1,0,1,0,0,0,0,0,1,0
cousin binary tree given root binary tree unique value value two different node tree return true node corresponding value tree cousin false otherwise two node binary tree cousin depth different parent note binary tree root node depth child depth node depth,2,0,0,0,0,0,0,0,1,1,0
nary tree postorder traversal given root nary tree return postorder traversal node value narytree input serialization represented level order traversal group child separated null value see example,0,0,0,0,0,0,0,0,1,0,0
find xor sum pair bitwise xor sum list bitwise xor element list contains one element xor sum equal element given two indexed array arr arr consist nonnegative integer consider list containing result arri arrj bitwise and every pair arrlength arrlength return xor sum aforementioned list,9,1,0,0,1,0,0,0,0,0,0
division highest score binary array given indexed binary array nums length nums divided index where two array possibly empty numsleft numsright division score index sum number numsleft number numsright return distinct index highest possible division score may return answer order,4,1,0,0,0,0,0,0,0,0,0
freedom trail video game fallout quest road freedom requires player reach metal dial called freedom trail ring use dial spell specific keyword open door given string ring represents code engraved outer ring another string key represents keyword need spelled return minimum number step spell character keyword initially first character ring aligned direction spell character key one one rotating ring clockwise anticlockwise make character string key aligned direction pressing center button stage rotating ring spell key character keyi,5,0,1,1,0,0,0,0,1,1,0
minimum index sum two list suppose andy doris want choose restaurant dinner list favorite restaurant represented string need help find common interest least list index sum choice tie answer output order requirement could assume always exists answer,0,1,1,0,0,1,0,0,0,0,0
count array pair divisible given indexed integer array nums length integer return number pair that,1,1,0,0,1,0,0,0,0,0,0
sum square number given nonnegative integer decide whether therere two integer,2,0,0,0,1,0,0,0,0,0,1
unique binary search tree given integer return number structurally unique bsts binary search tree exactly node unique value,1,0,0,1,1,0,0,0,0,0,0
convert binary number linked list integer given head reference node singlylinked list value node linked list either linked list hold binary representation number return decimal value number linked list,2,0,0,0,1,0,0,0,0,0,0
find winner tic tac toe game tictactoe played two player grid rule tictactoe are given integer array move movesi rowi coli indicates ith move played gridrowicoli return winner game exists case game end draw return draw still movement play return pending assume move valid follows rule tictactoe grid initially empty play first,3,1,0,0,0,1,0,0,0,0,0
maximum sum array given integer array nums length integer numslots numslots numslots slot numbered numslots place integer slot slot contains two number sum given placement sum bitwise every number respective slot number return maximum possible sum nums given numslots slot,2,1,0,1,0,0,0,0,0,0,0
number pair interchangeable rectangle given rectangle represented indexed integer array rectangle rectanglesi widthi heighti denotes width height ith rectangle two rectangle considered interchangeable widthtoheight ratio formally two rectangle interchangeable widthiheighti widthjheightj using decimal division integer division return number pair interchangeable rectangle rectangle,2,1,0,0,1,1,0,0,0,0,0
check good array given array nums positive integer task select subset nums multiply element integer add number array said good obtain sum array possible subset multiplicand return true array good otherwise return false,1,1,0,0,1,0,0,0,0,0,0
global local inversion given integer array nums length represents permutation integer range number global inversion number different pair where number local inversion number index where return true number global inversion equal number local inversion,2,1,0,0,1,0,0,0,0,0,0
hindex given array integer citation citationsi number citation researcher received ith paper return compute researcher hindex according definition hindex wikipedia scientist index paper least citation each paper citation each several possible value maximum one taken hindex,0,1,0,0,0,0,0,1,0,0,0
smallest subtree deepest node given root binary tree depth node shortest distance root return smallest subtree contains deepest node original tree node called deepest largest depth possible among node entire tree subtree node tree consisting node plus set descendant node,0,0,0,0,0,1,0,0,1,1,0
minimum cost connect two group point given two group point first group size point second group size point size size cost connection two point given size size matrix costij cost connecting point first group point second group group connected point group connected one point opposite group word point first group must connected least one point second group point second group must connected least one point first group return minimum cost take connect two group,6,1,0,1,0,0,0,0,0,0,0
student attendance record given string representing attendance record student character signifies whether student absent late present day record contains following three character student eligible attendance award meet following criterion return true student eligible attendance award false otherwise,0,0,1,0,0,0,0,0,0,0,0
minimum window substring given two string length respectively return minimum window substring every character including duplicate included window substring return empty string testcases generated answer unique substring contiguous sequence character within string,0,0,1,0,0,1,0,0,0,0,0
available capture rook chessboard exactly one white rook number white bishop black pawn empty square rook move chooses one four cardinal direction north east south west move direction chooses stop reach edge board capture black pawn blocked white bishop rook considered attacking pawn rook capture pawn rook turn number available capture white rook number pawn rook attacking return number available capture white rook,2,1,0,0,0,0,0,0,0,0,0
count sub island given two binary matrix grid grid containing representing water representing land island group connected directionally horizontal vertical cell outside grid considered water cell island grid considered subisland island grid contains cell make island grid return number island grid considered subislands,10,1,0,0,0,0,0,0,1,1,0
remove duplicate sorted array given integer array nums sorted nondecreasing order remove duplicate inplace unique element appears once relative order element kept same since impossible change length array language must instead result placed first part array nums formally element removing duplicate first element nums hold final result matter leave beyond first element return placing final result first slot nums allocate extra space another array must modifying input array inplace extra memory custom judge judge test solution following code assertion pas solution accepted,1,1,0,0,0,0,0,0,0,0,0
longest word dictionary given array string word representing english dictionary return longest word word built one character time word word one possible answer return longest word smallest lexicographical order answer return empty string,0,1,1,0,0,1,0,1,0,0,0
utf validation given integer array data representing data return whether valid utf encoding translates sequence valid utf encoded character character utf byte long subjected following rule utf encoding would work denotes bit binary form byte may either note input array integer least significant bit integer used store data mean integer represents byte data,11,1,0,0,0,0,0,0,0,0,0
copy list random pointer linked list length given node contains additional random pointer could point node list null construct deep copy list deep copy consist exactly brand new node new node value set value corresponding original node next random pointer new node point new node copied list pointer original list copied list represent list state none pointer new list point node original list example two node original list xrandom corresponding two node copied list xrandom return head copied linked list linked list represented inputoutput list node node represented pair val randomindex where code given head original linked list,0,0,0,0,0,1,0,0,0,0,0
jewel stone given string jewel representing type stone jewel stone representing stone have character stone type stone have want know many stone also jewel letter case sensitive considered different type stone,0,0,1,0,0,1,0,0,0,0,0
number subarrays size average greater equal threshold given array integer arr two integer threshold return number subarrays size average greater equal threshold,0,1,0,0,0,0,0,0,0,0,0
create maximum number given two integer array nums nums length respectively nums nums represent digit two number also given integer create maximum number length digit two number relative order digit array must preserved return array digit representing answer,4,0,0,0,0,0,1,0,0,0,0
permutation given array nums distinct integer return possible permutation return answer order,0,1,0,0,0,0,0,0,0,0,0
maximum side length square sum le equal threshold given matrix mat integer threshold return maximum sidelength square sum le equal threshold return square,1,1,0,0,0,0,0,0,0,0,1
valid sudoku determine sudoku board valid filled cell need validated according following rule note,2,1,0,0,0,1,0,0,0,0,0
restore array program supposed print array integer program forgot print whitespaces array printed string digit know integer array range leading zero array given string integer return number possible array printed using mentioned program since answer may large return modulo,3,0,1,1,0,0,0,0,0,0,0
longest string chain given array word word consists lowercase english letter worda predecessor wordb insert exactly one letter anywhere worda without changing order character make equal wordb word chain sequence word word word wordk word predecessor word word predecessor word single word trivially word chain return length longest possible word chain word chosen given list word,8,1,1,1,0,1,0,0,0,0,0
arithmetic slice subsequence given integer array nums return number arithmetic subsequence nums sequence number called arithmetic consists least three element difference two consecutive element same subsequence array sequence formed removing element possibly none array test case generated answer fit bit integer,1,1,0,1,0,0,0,0,0,0,0
count binary substring give binary string return number nonempty substring number substring grouped consecutively substring occur multiple time counted number time occur,4,0,1,0,0,0,0,0,0,0,0
longest arithmetic subsequence given array nums integer return length longest arithmetic subsequence nums recall subsequence array nums list numsi numsi numsik numslength sequence seq arithmetic seqi seqi value for seqlength,9,1,0,1,0,1,0,0,0,0,1
find minimum number fibonacci number whose sum given integer return minimum number fibonacci number whose sum equal fibonacci number used multiple time fibonacci number defined,0,0,0,0,0,0,1,0,0,0,0
smallest value rearranged number given integer num rearrange digit num value minimized contain leading zero return rearranged number minimal value note sign number change rearranging digit,0,0,0,0,1,0,0,1,0,0,0
string integer atoi implement myatoistring function convert string bit signed integer similar cc atoi function algorithm myatoistring follows note,1,0,1,0,0,0,0,0,0,0,0
lowest common ancestor binary tree given binary tree find lowest common ancestor lca two given node tree according definition lca wikipedia “the lowest common ancestor defined two node lowest node descendant where allow node descendant itself”,0,0,0,0,0,0,0,0,1,0,0
minimize malware spread given network node represented adjacency matrix graph ith node directly connected jth node graphij node initial initially infected malware whenever two node directly connected least one two node infected malware node infected malware spread malware continue node infected manner suppose minitial final number node infected malware entire network spread malware stop remove exactly one node initial return node that removed would minimize minitial multiple node could removed minimize minitial return node smallest index note node removed initial list infected node might still infected later due malware spread,1,1,0,0,0,0,0,0,1,1,0
surface area shape given grid placed cube value gridij represents tower cube placed top cell placing cube decided glue directly adjacent cube other forming several irregular shape return total surface area resulting shape note bottom face shape count toward surface area,5,1,0,0,1,0,0,0,0,0,0
compare string frequency smallest character let function frequency lexicographically smallest character nonempty string example dcce lexicographically smallest character frequency given array string word another array query string query query queriesi count number word word fqueriesi word return integer array answer answeri answer ith query,2,1,1,0,0,1,0,1,0,0,1
flipping image given binary matrix image flip image horizontally invert return resulting image flip image horizontally mean row image reversed invert image mean replaced replaced,4,1,0,0,0,0,0,0,0,0,0
spiral matrix iii start cell rstart cstart row col grid facing east northwest corner first row column grid southeast corner last row column walk clockwise spiral shape visit every position grid whenever move outside grid boundary continue walk outside grid but may return grid boundary later eventually reach row col space grid return array coordinate representing position grid order visited them,0,1,0,0,0,0,0,0,0,0,0
reverse word string iii given string reverse order character word within sentence still preserving whitespace initial word order,0,0,1,0,0,0,0,0,0,0,0
decode string given encoded string return decoded string encoding rule kencodedstring encodedstring inside square bracket repeated exactly time note guaranteed positive integer may assume input string always valid extra white space square bracket wellformed etc furthermore may assume original data contain digit digit repeat number example input like,3,0,1,0,0,0,0,0,0,0,0
abbreviating product range given two positive integer left right left right calculate product integer inclusive range left right since product may large abbreviate following step return string denoting abbreviated product integer inclusive range left right,0,0,0,0,1,0,0,0,0,0,0
reveal card increasing order given integer array deck deck card every card unique integer integer ith card decki order deck order want initially card start face unrevealed one deck following step repeatedly card revealed return ordering deck would reveal card increasing order note first entry answer considered top deck,0,1,0,0,0,0,0,1,0,0,0
reverse string write function revers string input string given array character must modifying input array inplace extra memory,1,0,1,0,0,0,0,0,0,0,0
number way separate number wrote many positive integer string called num however realized forgot add comma seperate different number remember list integer nondecreasing integer leading zero return number possible list integer could written get string num since answer may large return modulo,2,0,1,1,0,0,0,0,0,0,0
maximum frequency stack design stacklike data structure push element stack pop frequent element stack implement freqstack class,0,0,0,0,0,1,0,0,0,0,0
shift grid given grid size integer need shift grid time one shift operation return grid applying shift operation time,3,1,0,0,0,0,0,0,0,0,0
stone game alice bob continue game stone row stone stone associated value given integer array stone stonesi value ith stone alice bob take turn alice starting first turn player may remove stone stone player remove stone loses sum value removed stone divisible bob win automatically remaining stone even alices turn assuming player play optimally return true alice win false bob win,1,1,0,0,1,0,1,0,0,0,0
shortest path get key given grid grid where start starting point one move consists walking one space one four cardinal direction cannot walk outside grid walk wall walk key pick cannot walk lock unless corresponding key exactly one lowercase one uppercase letter first letter english alphabet grid mean exactly one key lock one lock key also letter used represent key lock chosen order english alphabet return lowest number move acquire key impossible return,3,0,0,0,0,0,0,0,0,1,0
prison cell day prison cell row cell either occupied vacant day whether cell occupied vacant change according following rule note prison row first last cell row cant two adjacent neighbor given integer array cell cellsi ith cell occupied cellsi ith cell vacant given integer return state prison day change described above,3,1,0,0,1,1,0,0,0,0,0
network delay time given network node labeled also given time list travel time directed edge timesi source node target node time take signal travel source target send signal given node return time take node receive signal impossible node receive signal return,2,0,0,0,0,0,0,0,1,1,0
number enclave given binary matrix grid represents sea cell represents land cell move consists walking one land cell another adjacent directionally land cell walking boundary grid return number land cell grid cannot walk boundary grid number move,3,1,0,0,0,0,0,0,1,1,0
ugly number iii ugly number positive integer divisible given four integer return nth ugly number,0,0,0,0,1,0,0,0,0,0,1
longest common subpath country city numbered country road connecting every pair city friend numbered traveling country one take path consisting city path represented integer array contains visited city order path may contain city once city listed consecutively given integer integer array path pathsi integer array representing path ith friend return length longest common subpath shared every friend path common subpath all subpath path contiguous sequence city within path,6,1,0,0,0,0,0,0,0,0,1
kconcatenation maximum sum given integer array arr integer modify array repeating time example arr modified array return maximum subarray sum modified array note length subarray sum case answer large return answer modulo,13,1,0,1,0,0,0,0,0,0,0
partition array maximum sum given integer array arr partition array contiguous subarrays length partitioning subarray value changed become maximum value subarray return largest sum given array partitioning test case generated answer fit bit integer,1,1,0,1,0,0,0,0,0,0,0
lower case given string return string replacing every uppercase letter lowercase letter,0,0,1,0,0,0,0,0,0,0,0
russian doll envelope given array integer envelope envelopesi represents width height envelope one envelope fit another width height one envelope greater envelope width height return maximum number envelope russian doll put one inside other note cannot rotate envelope,1,1,0,1,0,0,0,1,0,0,1
transpose matrix given integer array matrix return transpose matrix transpose matrix matrix flipped main diagonal switching matrix row column index,1,1,0,0,0,0,0,0,0,0,0
bulb switcher room bulb labeled turned initially four button wall four button different functionality where must make exactly press button press total press may pick four button press given two integer press return number different possible status performing press button press,1,0,0,0,1,0,0,0,1,1,0
check double exist given array arr integer check exists two integer double formally check exists two index,1,1,0,0,0,1,0,1,0,0,1
missing number given array nums containing distinct number range return number range missing array,1,1,0,0,1,1,0,1,0,0,0
binary prefix divisible given binary array nums indexed define number whose binary representation subarray numsi from mostsignificantbit leastsignificantbit return array booleans answer answeri true divisible,4,1,0,0,0,0,0,0,0,0,0
populating next right pointer node given perfect binary tree leaf level every parent two child binary tree following definition populate next pointer point next right node next right node next pointer set null initially next pointer set null,0,0,0,0,0,0,0,0,1,1,0
break palindrome given palindromic string lowercase english letter palindrome replace exactly one character lowercase english letter resulting string palindrome lexicographically smallest one possible return resulting string way replace character make palindrome return empty string string lexicographically smaller string length first position differ character strictly smaller corresponding character example abcc lexicographically smaller abcd first position differ fourth character smaller,0,0,1,0,0,0,1,0,0,0,0
check original string exists given two encoded string original string consisting lowercase english letter encoded following step example one way encode original string abcdefghijklmnop might given two encoded string consisting lowercase english letter digit inclusive return true exists original string could encoded otherwise return false note test case generated number consecutive digit exceed,9,0,1,1,0,0,0,0,0,0,0
maximum profit job scheduling job every job scheduled done starttimei endtimei obtaining profit profiti given starttime endtime profit array return maximum profit take two job subset overlapping time range choose job end time able start another job start time,0,1,0,1,0,0,0,1,0,0,1
sum left leaf given root binary tree return sum left leaf leaf node child left leaf leaf left child another node,0,0,0,0,0,0,0,0,1,1,0
range frequency query design data structure find frequency given value given subarray frequency value subarray number occurrence value subarray implement rangefreqquery class subarray contiguous sequence element within array arrleftright denotes subarray contains element nums index left right inclusive,0,1,0,0,0,1,0,0,0,0,1
powx implement powx calculates raised power,0,0,0,0,1,0,0,0,0,0,0
wiggle sort given integer array nums reorder nums nums nums nums may assume input array always valid answer,4,1,0,0,0,0,0,1,0,0,0
serialize deserialize binary tree serialization process converting data structure object sequence bit stored file memory buffer transmitted across network connection link reconstructed later another computer environment design algorithm serialize deserialize binary tree restriction serializationdeserialization algorithm work need ensure binary tree serialized string string deserialized original tree structure clarification inputoutput format leetcode serializes binary tree necessarily need follow format please creative come different approach yourself,0,0,1,0,0,0,0,0,1,1,0
